molecule_name,pEC50
CNP0223497,4.82588693
CNP0334825,4.826075513
CNP0371572,4.826075513
CNP0363121,4.826149703
CNP0309831,4.826251238
CNP0230610,4.826532179
CNP0255528,4.826765905
CNP0331802,4.826765905
CNP0236047,4.826776493
CNP0222435,4.827144216
CNP0332012,4.827202729
CNP0202928,4.82731158
CNP0260944,4.827735688
CNP0340257,4.827873435
CNP0428970,4.828014185
CNP0236707,4.828141857
CNP0346107,4.828227431
CNP0298241,4.828249217
CNP0237135,4.828291598
CNP0209665,4.828400318
CNP0265373,4.828400318
CNP0304258,4.828556693
CNP0104789,4.828641325
CNP0434176,4.828760704
CNP0321900,4.828947623
CNP0220565,4.829005291
CNP0311894,4.829005291
CNP0315813,4.829005291
CNP0086134,4.829024299
CNP0086134,4.829024299
CNP0472423,4.829146694
CNP0418652,4.829208437
CNP0103717,4.829348904
CNP0330575,4.829348904
CNP0331763,4.829348904
CNP0386784,4.8294737
CNP0198906,4.829532655
CNP0079481,4.829748876
CNP0080024,4.829748876
CNP0079477,4.829748876
CNP0080024,4.829748876
CNP0342505,4.829863415
CNP0078181,4.829866438
CNP0078181,4.829866438
CNP0247852,4.829944783
CNP0256503,4.829953558
CNP0309150,4.829988041
CNP0271538,4.830068916
CNP0097878,4.830315618
CNP0228849,4.83032616
CNP0220781,4.830403983
CNP0293036,4.830403983
CNP0078271,4.83054777
CNP0078272,4.83054777
CNP0221876,4.8305774
CNP0478588,4.830663987
