O=C1C=C(OC=2C=CC=CC12)C=3C=CC=C(OC)C3O CNP0029829
O=C(OCC)C1=C(OC=2C=C(Br)C(OCC=3C=CC=C(Cl)C3)=CC21)C=4C=CC=CC4 CNP0029950
O=C1C=C(OC2=CC=C(C=C12)NS(=O)(=O)C3=CC=C(F)C=C3)C=4C=CC=CC4OC CNP0030073
O=C1OCC(O)(CC2=CC=C(O)C(OC)=C2)C1CC3=CC=C(O)C(OC)=C3 CNP0030311
O=C1C(OC=2C=CC=CC2Br)=COC=3C1=CC=C4OCN(CC5=NC=CC=C5)CC43 CNP0030366
O=C1C=C(C(=O)C=2C(O)=C3C(=CC12)C4OC(=O)CC4OC3C)C5(O)OC(C(=O)C(O)C5)C CNP0030377
O=C(O)CC1NC(=O)C(NC(=O)CC(N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(O)C(O)C(NC(=O)C(NC(=O)C(C)C(O)C(C)CC(C)C)CCCN)CCC(=O)N)C(C)C(C(=O)N)C)C(OC(=O)C2N(C1=O)CCCC2)C(C)C(C)C)CO)CCCN)CC(C)C)C)CCC(=O)N)C(OC)C CNP0030422
O=C(OC1=CC=C(Br)C=C1C(=O)C=CC=2C=CC=CC2OC)C3=CC=C(OC)C(OC)=C3 CNP0030441
O=C(O)C1(C)CCCC2(C)C1CC(O)C34CC(=C)C(CC(O)C23)C4 CNP0030678
O=C(O)C1=CC2(C)CC(CC)C(O)CC3C=CC4C(OC5OC(C)C(OC6OC(C)C(OC7OC(C)C(N)C(OC(=O)C8=NC9=NC=%10C=CC=CC%10C9=C8)C7)C(O)(C)C6)CC5)CCCC4C3(C(=O)C%11=CC2(NC%11=O)CC1C)C CNP0031332
OC=1C=CC2=C(C1)C=C3C=CC4=CC=CC=5C=CC2=C3C45 CNP0031416
ClC1=CC=C(C=C1)C2SC3=NN=C(C=4C=CC=CC4OC)N3N2 CNP0031577
O=C1C(OC2=CC(OCC3=CC=C(Cl)C=C3Cl)=CC=C21)=CC4=CN(C=5C=CC=CC45)CC CNP0031631
O=C(OCC)C1=C(OC=2C=CC(OCC(=O)NN=CC=3C=CC=CC3OC)=CC21)C=4C=CC=CC4 CNP0031792
O=C1OC2=C(C=CC=3OCN(CC4=NC=CC=C4)CC32)C=C1C5=CC=C(OC)C=C5OC CNP0031821
O=C(C=CC=1C(Cl)=CC=CC1Cl)C=2C=CC=CC2O CNP0031876
O=C1OC2=CC=C(OC(=O)N(CC)CC)C=C2C(=C1C=3C=CC(OC)=C(OC)C3)C CNP0032000
O=C1OC2=CC(=C(Cl)C(=C2C(=C1C=3C=CC=CC3Cl)C)C)C CNP0032018
O=C(O)C(=O)CCC(=O)N CNP0032107
O=C(O)C1OC(OC2=CC=C3C(=O)C(=COC3=C2)C=4C=CC(OS(=O)(=O)O)=CC4)C(O)C(O)C1O CNP0075789
O=C1OCC=C1C(CC2C(=C)CCC3C(C)(CO)C(O)CCC23C)S(=O)(=O)O CNP0075833
O=C1OCC=C1C(CC2C(=C)CCC3C(C)(C)C(O)CCC23C)S(=O)(=O)O CNP0075834
O=CC1C2CCC3C2C(C)(CO)CCCC13C CNP0075835
O=C1C=C(C)CC2(O)OC(OC)C34OC23C(C)(C)C(CCC(=C)C1)CC4 CNP0075934
O=C(C1=C(O)C(=C(O)C=C1OC2OC(CO)C(O)C(O)C2O)C3C=4C(O)=CC(O)=CC4OC(C5=CC=C(O)C=C5)C3O)CC(C)C CNP0075935
O=C(OCC1OC(OC1)(C)C)CCCCCCCCCCCCCCCCC CNP0075993
O(C)C1OCCO1 CNP0076084
O=C(OC1=CC=C2C(=O)C(OC2=C1)=CC=3C(Cl)=CC=CC3Cl)C=4C=CC=CC4C CNP0076343
O=C(O)C12CCC(C)C(C)C2C3=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC64CC36CC1 CNP0076372
O(C=1C=CC=2C(=CN3CCC4=CC(OC)=C(OC)C=C4C3C2C)C1OC)C CNP0076520
